,Unnamed: 0,ID,Date,Text,cleaned_message,polarity,subjectivity
0,0,EPA-HQ-OPP-2024-0562-0501,"Posted by the Environmental Protection Agency on Feb 19, 2025","I don't know what to comment, other than any entity trying to prevent consumers from protecting themselves through wrongful injury litigation from an industry's products, through product liability shield laws, is absolutely unAmerican and wrong. It has already been done once and it has paved the way for massive overprofiting and mandated use of products. This has only put industry over consumers. It is, again, wrong. Regulations should be put in place always to protect consumers first. If a product is safe, it should be able to withstand the scrutiny of consumers, and the maker should have to respond to accusations of harm by changing its products to be safer. Thank you for reading my comments.","I do not know what to comment, other than any entity trying to prevent consumers from protecting themselves through wrongful injury litigation from an industry's products, through product liability shield laws, is absolutely unAmerican and wrong. It has already been done once and it has paved the way for massive overprofiting and mandated use of products. This has only put industry over consumers. It is, again, wrong. Regulations should be put in place always to protect consumers first. If a product is safe, it should be able to withstand the scrutiny of consumers, and the maker should have to respond to accusations of harm by changing its products to be safer. ",0.03611111111111111,0.7259259259259259
1,1,EPA-HQ-OPP-2024-0562-0504,"Posted by the Environmental Protection Agency on Feb 19, 2025","Please stop this reckless doubling down on severely deteriorating our own health source and biophysical basis of existence! We are the only species who self destructs. Not only that, bizarrely, we do it willingly. Why on Earth are we like this? Please, be better. Lead by example. Be responsible. Think about your loved ones. Think about the youth today and yet to be born generations. Stop this utter madness.","Please stop this reckless doubling down on severely deteriorating our own health source and biophysical basis of existence! We are the only species who self destructs. Not only that, bizarrely, we do it willingly. Why on Earth are we like this? Please, be better. Lead by example. Be responsible. Think about your loved ones. Think about the youth today and yet to be born generations. Stop this utter madness.",0.24938271604938272,0.7654320987654321
2,2,EPA-HQ-OPP-2024-0562-0503,"Posted by the Environmental Protection Agency on Feb 19, 2025","Please protect our people from harmful pesticides. I urge the EPA to reject all attempts to overturn state and local pesticide regulations.

Pesticide regulations must be a locally decided matter, determined by the citizens that of each state and city. It is extremely important that we protect vulnerable people, especially children, from toxic pesticides. It is essential that local authorities notify residents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Shelley Nayak
Louisville, CO 80027-1618","Please protect our people from harmful pesticides. I urge the EPA to reject all attempts to overturn state and local pesticide regulations.

Pesticide regulations must be a locally decided matter, determined by the citizens that of each state and city. It is extremely important that we protect vulnerable people, especially children, from toxic pesticides. It is essential that local authorities notify residents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.


Louisville, CO 80027-1618",0.013888888888888897,0.4138888888888889
3,3,EPA-HQ-OPP-2024-0562-0502,"Posted by the Environmental Protection Agency on Feb 19, 2025","As a farmer from Arkansas, I'm sad my state's Attorney General is a part of this. But if these states want to have pesticide labeling in their state that's consistent with EPA's findings and conclusions, then that's their choice. Other states should be able to make decisions based on their own findings and conclusions in their efforts to protect their residents from harm. This proposed rule seems like something meant to benefit pesticide manufactures rather than protect the people potentially exposed to harm. We should error (if error it is) on the side of safeguarding people's health. Please don't support this proposed modification to override local rules.","As a farmer from Arkansas, I am sad my state's Attorney General is a part of this. But if these states want to have pesticide labeling in their state that is consistent with EPA's findings and conclusions, then that is their choice. Other states should be able to make decisions based on their own findings and conclusions in their efforts to protect their residents from harm. This proposed rule seems like something meant to benefit pesticide manufactures rather than protect the people potentially exposed to harm. We should error (if error it is) on the side of safeguarding people's health. Please do not support this proposed modification to override local rules.",0.096875,0.59375
4,4,EPA-HQ-OPP-2024-0562-0478,"Posted by the Environmental Protection Agency on Feb 18, 2025","The EPA was created to protect Americans. Clearly it is now protecting Big Chem. We need for you to start protecting us, or at the very least allowing us to protect ourselves. This can't happen with you blocking laws put in place to protect us.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
ANNE TEMPLE
Milwaukee, WI 53223-5929","The EPA was created to protect Americans. Clearly it is now protecting Big Chem. We need for you to start protecting us, or at the very least allowing us to protect ourselves. This cannot happen with you blocking laws put in place to protect us.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.


Milwaukee, WI 53223-5929",-0.01236111111111112,0.38916666666666666
5,5,EPA-HQ-OPP-2024-0562-0494,"Posted by the Environmental Protection Agency on Feb 18, 2025",As someone who was harmed by a chemical exposure I urge you to maintain the ability of states to warn of pesticide hazards and issue product label restrictions. These are necessary for me to maintain the health that I still have and will prevent the harm and potential death of many others.,As someone who was harmed by a chemical exposure I urge you to maintain the ability of states to warn of pesticide hazards and issue product label restrictions. These are necessary for me to maintain the health that I still have and will prevent the harm and potential death of many others.,0.16666666666666666,0.8333333333333334
6,6,EPA-HQ-OPP-2024-0562-0454,"Posted by the Environmental Protection Agency on Feb 18, 2025","States and local governments often take creative measures to protect people, land, and water from hazards. States and local governments believe in their right to protect their residents from poisoning and contamination, a right that has been upheld by the U.S. Supreme Court. The only conclusion that can be derived from the petition is that the AGs do not care if the people, including farmers, of their states are harmed by pesticides, and they should not be able to seek compensation if they suffer adverse effects due to a failure to warn on a pesticide label. The courts have upheld a state’s and manufacturer’s “duty to warn” of pesticide hazards as a right and responsibility that is not at odds with “misbranding” regulations under federal pesticide law.

Please uphold the rights of states and deny the AG petition.

Thank you.

Sincerely,
MS Joyce Weir
HERBS Dr Newport, WA 99156
jaweir@povn.com","States and local governments often take creative measures to protect people, land, and water from hazards. States and local governments believe in their right to protect their residents from poisoning and contamination, a right that has been upheld by the YOU.S. Supreme Court. The only conclusion that can be derived from the petition is that the AGs do not care if the people, including farmers, of their states are harmed by pesticides, and they should not be able to seek compensation if they suffer adverse effects due to a failure to warn on a pesticide label. The courts have upheld a state’s and manufacturer’s “duty to warn” of pesticide hazards as a right and responsibility that is not at odds with “misbranding” regulations under federal pesticide law.

Please uphold the rights of states and deny the AG petition.



Sincerely,
MS Joyce Weir
HERBS Dr Newport, WA 99156
jaweir@povn.com",0.1741341991341991,0.49155844155844153
7,7,EPA-HQ-OPP-2024-0562-0455,"Posted by the Environmental Protection Agency on Feb 18, 2025",Please don't increase the risk of poisoning by allowing this product on the market without strong warnings. All kinds of animals - and that includes us -are at risk any time toxic chemicals are used. To put them on the market without clear statements of the dangers should never be permitted.,Please do not increase the risk of poisoning by allowing this product on the market without strong warnings. All kinds of animals - and that includes us -are at risk any time toxic chemicals are used. To put them on the market without clear statements of the dangers should never be permitted.,0.26666666666666666,0.5583333333333333
8,8,EPA-HQ-OPP-2024-0562-0458,"Posted by the Environmental Protection Agency on Feb 18, 2025","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Maine is a largely rural state with many small farmers and indigenous peoples. We have clean air and water. Our land is largely forested and maintained by private owners who value the environment. Please do not harm peoples’ ability to decide for themselves how their communities protect their natural resources.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.

Thank you,
Jane Shattuck
New Portland, ME 04961-3130","Please protect Americans from harmful pesticides. I urge you to reject any efforts that try to overturn state and local pesticide regulations.

Maine is a largely rural state with many small farmers and indigenous peoples. We have clean air and water. Our land is largely forested and maintained by private owners who value the environment. Please do not harm peoples’ ability to decide for themselves how their communities protect their natural resources.

Blocking state and local pesticide laws would prevent states from protecting their unique local environments and communities, including vulnerable people like children, from toxic pesticides. It would also keep them from responding to emerging risks and cut off notification requirements to parents when toxic pesticides will be sprayed at school or near parks.

I urge you to take serious action to protect these important local laws.


New Portland, ME 04961-3130",0.06716570466570466,0.3847101972101972
9,9,EPA-HQ-OPP-2024-0562-0467,"Posted by the Environmental Protection Agency on Feb 18, 2025",We need to increase pesticide bans! Absolutely do not reduce the protections we have. We are facing mass extinctions on a scale I can't even fathom. Without pollinators our entire food chain collapses. Without protections for playgrounds we increase childhood cancer rates. Pesticides cause earthworms to have seizures up to 20 generations AFTER first use. We need to ban all of these toxic chemicals for the well-being of every living creature and human being on this planet. Choose to be on the side of the future abundance - please do not choose to be the downfall of all life on earth.,We need to increase pesticide bans! Absolutely do not reduce the protections we have. We are facing mass extinctions on a scale I cannot even fathom. Without pollinators our entire food chain collapses. Without protections for playgrounds we increase childhood cancer rates. Pesticides because earthworms to have seizures up to 20 generations AFTER first use. We need to ban all of these toxic chemicals for the well-being of every living creature and human being on this planet. Choose to be on the side of the future abundance - please do not choose to be the downfall of all life on earth.,0.016666666666666663,0.34722222222222215
